CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
1586881,4065265798761,3528167.0,GLUCOPHAGE 500MG CP B/30   AFR,789,1055,0
1606611,4065265798778,3044802.0,GLUCOPHAGE 850MG CP B/30   AFR,2074,2780,0
1215121,4054839525681,4054839525681.0,GLUCOVANCE 1000MG/5MG CP B/30,3660,4905,0
3580162,3400935801623,3580162.0,"GLUCOVANCE 500MG/2,5 CP B/30",2833,3800,0
3580280,3400935802804,3580280.0,GLUCOVANCE 500MG/5MG CP B/30,2834,3800,0
1307771,9100001307771,3000000611678.0,GLYFERON 1000MG CP B/30,1629,2180,0
1307761,9100001307761,3000000611630.0,GLYFERON 850MG CP B/30,1399,1875,0
1243471,3990000003323,3990000003323.0,GLYMAX LP 500MG/2MG CP B/30,2605,3490,0
1049911,9100001049911,,GO SPAS MAX CP B/20,681,910,0
8108317,9100000779881,8077226.0,GRAMOCEF O 200MG GELU B/10,2163,2900,0
3046445,3400930464458,3400930464458.0,GRISEFULINE 250MG CP B/30,1874,2510,0
1584521,9100001584521,,GRISEOFIL 500MG CP B/100,6857,9195,0
2025694,3700502100464,,GRISEOFULVINE CRE 500 CP/10X10,6116,8200,0
8382567,9100000617291,3000000316177.0,GRISEOFULVINE PPM 500MG CP/100,5251,7040,0
1460201,9100001460201,,GRISEOFULVINE 500 CP 2X10 AFRI,1240,1665,0
2281291,9100000357401,8031483.0,GRISEOPHARM 125MG CP B/32,1605,2150,0
2281687,9100000062521,2035965.0,GRISEOPHARM 250MG CP B/30,1652,2215,0
2281753,9100000062531,2035971.0,GRISEOPHARM 500MG CP B/20,2254,3020,0
3046563,3400930465639,,GURONSAN CP EFF T/15X2,19414,26035,0
8181923,3000000383711,,GVIA M 50/1000 CP B/60,9961,13355,0
8163581,3000000343876,,GVIA 100MG CP B/28,8363,11215,0
2282037,9100000647041,2282037.0,GYNOSPAN CP B/30,1353,1815,0
2269918,9100000273531,2037728.0,HAEM UP GEMS GELU B/30,2099,2815,0
3208250,3400932082506,3208250.0,HALDOL 5MG CP B/30,1682,2255,0
1404451,9100001404451,,HEAMOCARE CP B/30,1486,1990,0
152821,7445027816358,,HELICOCIN CP B/42,4154,5570,0
3305645,3400933056452,3305645.0,HELMINTOX GE 125MG CP B/6,1054,1410,0
3305639,3400933056391,,HELMINTOX 250MG CP B/3,1162,1555,0
1583961,5206938002832,,HEMAFER FOL CHEW B/30  308687E,3676,4930,0
8112738,5206938000111,,HEMAFER FOL 100 EFF/12 EXP8580,3049,4085,0
9033840,5206938002818,,HEMAFER 100MG CP B/30  308686E,3676,4930,0
8112721,5206938000104,,HEMAFER 100MG EFF B/12 EXP8579,3049,4085,0
8166740,9100001078021,3000000357880.0,HEMASTOP 500MG CP B/20,3022,4050,0
3348904,3400933489045,,"HEMIGOXINE NATIV 0,125MG CP/30",1393,1865,0
1812981,3000001204787,,HICEF-DT 400MG CP DISP B/10,4300,5765,0
2475452,9100001541301,3000000804797.0,"HYDRAM 10/12,5MG  CP  B/30",3534,4740,0
2475456,9100001541311,3000000804742.0,HYDRAM 10/25MG CP  B/30,3704,4965,0
2475474,9100001541321,3000000804841.0,"HYDRAM 5/12,5MG CP B/30",2082,2790,0
2282468,3700502100679,,HYDRO ALU+MAG CREALOX BL 10X12,4115,5515,0
8107571,3700502100662,,HYDRO ALU+MAG CREALOX BL 4X12,2153,2885,0
1836061,9100001836061,,HYDROXYRA 500MG CAPS B/10,579,775,0
2789635,3400927896354,,HYDROXYZINE MYL 25MG CP B/30,1039,1390,0
3294692,3400932946921,3294692.0,HYPERIUM 1MG CP B/30,6883,9230,0
8112336,9100000829731,3000000058954.0,HYQUIN 200MG CP B/30,6035,8090,0
3385207,3400933852078,,"HYZAAR 50/12,5MG CP B/28",4039,5415,0
2255678,3582910063230,8049052.0,IBEX 200/235/30MG GELU B/24,837,1120,0
2291929,9100000148671,,IBUMOL 400MG B/30,1749,2345,0
2291912,9100000419281,,IBUMOL 400MG CP B/10,804,1075,0
1753871,9100001753871,,IBUPAR SP FL/100ML,977,1310,0
2264594,9100000277301,,IBUPROFEN DENK 400 CP B/100,4827,6470,0
8161010,9100000997691,,IBUPROFEN DENK 600 B/20,2186,2930,0
2030761,3700502100501,,IBUPROFENE CRE 400 CP BL10X10,3710,4975,0
8458170,9100001397511,3000000644263.0,IBUPROFENE IG 400MG CAPS B/10,803,1075,0
8054047,9100000599431,,IBUPROFENE UBI 400MG CP/10X10,1962,2630,0
1448791,9100001448791,3000000688014.0,IBUPROFENE VIR 600MG CP B/20,1339,1795,0
1460211,9100001460211,,IBUPROFENE 400 CP B/2X10 AFRI,578,775,0
1682261,9100001682261,,ICAZ LP 5MG GELU B/30     41ME,10682,14325,0
3380960,3400933809607,3380960.0,IDEOS CP CROQ B/30,3638,4875,0
975361,9100000975361,,IDICEF 200MG TABS B/10,2519,3375,0
8074564,9100000574321,,IMMARD 200MG CP/BL 3X10,2968,3980,0
8174739,4031571072666,,IMMUN ACTIVE DENK B/20,4626,0,2
1681071,4031571077074,,IMMUN ACTIVE DENK+D3 B/20,5481,0,2
2262299,9100004678401,2036031.0,IMMUNOPLEX N CP B/30,7626,10225,0
3666679,3400936666795,3400936666795.0,IMODIUM LINGUAL LYOPHIL B/12,5379,7210,0
3188607,3400931886075,3188607.0,IMODIUM 2MG GELU B/20,1694,2270,0
8164824,9100001105391,,IMUCLAV 1125MG CP B/12,3813,5110,0
3641490,3400936414907,,IMUREL 50MG CP PELL B/100,17129,22970,0
1212991,3000000440438,3000000440438.0,INDOFER GEL B/30,1755,2350,0
5606238,5000456062381,3400935533371.0,INEXIUM 20MG CP B/14       AFR,4371,5860,0
5606237,5000456062374,3553389.0,INEXIUM 40MG CP B/14       AFR,4883,6545,0
2256666,9100000598431,,INFLACAM CES 20MG B/10,1975,2645,0
8115820,3000000023006,,INIGAST 20MG CP GASTRO 3X10,4737,6350,0
8115837,3000000023013,,INIGAST 40MG CP GASTRO 3X10,5590,7495,0
1849811,9100001849811,,INNCLAMOX 1G B/12,3049,4090,0
1849791,9100001849791,,INNCLAMOX 625MG CP B/14,2062,2765,0
7959562,3401579595626,,INOCLIM CAPS B/30,6753,0,2
1270831,3000000511084,,INSTACLOP PLUS 75MG CP B/30,6247,8375,0
8073174,9100000562321,8073174.0,INSTACLOP 75MG CP B/30,5842,7835,0
8144448,3000000179352,3000000179352.0,INTERCEF 100MG CP B/10,1904,2550,0
8162564,3000000344958,3000000344958.0,INTERCEF 200MG CP B/10,2322,3110,0
9001165,9100000720961,,IPEPRAZOLE 20MG CP B/14,1134,1520,0
8141958,9100000968541,3000000230022.0,IPOZOLE 20MG GELU B/30,2097,2810,0
2268729,9100000251881,2268729.0,IREX 12 GELU B/30,1748,2345,0
2299144,9100000743321,,IRYS 2MG CP B/30,2807,3760,0
2251924,9100000743331,,IRYS 3MG CP B/30,3669,4920,0
2251930,9100000743341,,IRYS 4MG CP B/30,5837,7825,0
